sample_size,is_llm_advice_sig,is_llm_advice_pct,is_llm_advice_effect_size,interaction_sig,interaction_pct,interaction_effect_size,chi2_sig,chi2_pct,ranksum_sig,ranksum_pct
30,864/1000,86.4%,Large,820/1000,82.0%,Medium,602/1000,60.2%,296/1000,29.6%
50,894/1000,89.4%,Large,822/1000,82.2%,Medium,639/1000,63.9%,349/1000,34.9%
60,893/1000,89.3%,Large,843/1000,84.3%,Medium,642/1000,64.2%,321/1000,32.1%
70,888/1000,88.8%,Large,817/1000,81.7%,Medium,639/1000,63.9%,303/1000,30.3%
80,885/1000,88.5%,Large,820/1000,82.0%,Medium,596/1000,59.6%,318/1000,31.8%
100,882/1000,88.2%,Large,821/1000,82.1%,Medium,610/1000,61.0%,309/1000,30.9%
150,870/1000,87.0%,Large,810/1000,81.0%,Medium,596/1000,59.6%,309/1000,30.9%
200,899/1000,89.9%,Large,838/1000,83.8%,Medium,634/1000,63.4%,314/1000,31.4%
300,888/1000,88.8%,Large,837/1000,83.7%,Medium,650/1000,65.0%,319/1000,31.9%
